430,6268
430,1925
431,2542
431,14568
432,8171
432,19507
433,3873
434,11671
435,15001
435,25978
435,15304
435,15436
435,10408
436,22998
437,25696
437,9938
437,18320
437,20204
437,18672
437,27024
438,9610
438,2925
438,10778
438,4573
438,12313
438,3915
438,1966
438,18472
438,27847
438,24789
439,7856
439,8866
439,13048
439,16265
439,4752
439,5340
439,10694
439,23123
439,11987
439,24809
439,15851
439,26194
439,2753
439,10427
439,12319
439,2531
439,20068
439,1700
439,20924
439,21264
439,17978
439,9456
439,7253
439,8994
439,3286
439,6413
439,20440
439,4641
440,4743
440,8959
441,14419
441,5289
441,26505
441,6510
441,25875
441,7288
441,26363
441,22605
441,18033
441,19629
441,13374
441,15820
441,3341
441,12008
441,27655
441,12235
442,19298
442,11978
442,8930
442,7728
443,4535
443,811
443,8898
443,18361
443,17114
443,23518
443,3204
443,24266
443,19775
443,5153
443,22866
443,9281
443,13757
444,17659
444,23107
445,15088
445,18051
446,5977
446,12153
446,2811
446,17145
446,16112
446,23590
446,26293
446,27175
446,14959
447,25382
448,1331
448,25771
448,15560
448,26499
448,19429
448,22114
448,19356
448,14872
448,1016
448,2291
448,2785
448,3101
448,11184
448,23128
448,19947
448,2349
448,8113
448,25399
448,23420
448,15973
448,7813
448,1707
449,1850
449,6728
449,4737
449,3638
449,11020
449,14794
450,20689
451,10533
451,2191
452,4720
452,17818
453,14817
454,2915
454,20922
454,27042
454,9978
454,7148
454,22793
455,25116
455,19327
456,17254
456,11026
457,7473
457,19746
457,4834
457,7003
457,16686
458,4480
458,8715
458,5112
458,19639
459,11642
459,23048
460,22516
460,25902
460,13062
460,27668
460,1925
461,5283
461,23388
461,6911
461,13376
461,14555
461,5496
461,23227
462,19127
462,24957
463,17164
463,26364
463,24042
464,22748
464,21767
464,7696
464,5595
464,1232
464,15280
465,17020
465,14953
465,21761
465,19171
465,22183
465,4954
465,9251
465,25404
465,17262
466,18904
467,8000
468,25630
468,6809
469,19696
470,8300
471,2764
471,25052
471,19688
471,10863
472,24774
473,19038
473,11344
473,581
473,26147
473,16679
473,3649
473,17165
473,22255
473,12400
473,10146
473,18736
473,14228
473,20754
473,21723
473,1579
473,11696
473,2769
473,14180
473,21766
473,21849
473,24392
473,4817
473,11953
473,16627
474,14685
474,9254
474,14350
474,4476
474,669
474,15190
474,24208
475,17480
475,6625
475,21261
475,9316
475,27015
475,17967
476,6241
476,22329
476,11111
476,18356
477,25826
477,27721
477,25929
477,2461
477,15733
477,23416
478,2323
478,21166
478,7049
478,22739
478,1218
478,2646
478,22885
478,1970
478,27587
478,13459
478,22290
478,17177
478,16560
478,19171
478,18627
478,11553
478,12412
478,21401
478,14475
478,15650
478,17152
478,14657
478,19346
478,25956
479,12417
479,1350
479,25673
479,3126
479,21693
480,24904
481,3762
481,11009
481,25960
481,9236
481,16071
481,7183
481,1544
481,25232
481,8751
481,19347
481,22784
481,23333
481,20527
481,22688
481,26438
481,4974
481,9490
481,19362
481,14583
481,18394
482,1948
482,4190
482,6633
482,17220
482,19712
483,734
483,15216
484,11692
484,13235
484,14473
485,22425
485,23600
485,24057
485,8814
485,2518
485,18425
485,2067
485,17020
485,18713
485,17742
485,8852
485,13292
485,20611
485,20802
485,6914
485,5989
485,12855
485,21633
485,6269
485,14672
485,24127
485,3734
485,27969
485,14024
485,10405
485,10330
485,24131
485,23799
485,3892
486,2075
486,3530
487,580
487,1672
487,23721
487,22892
488,8924
488,4054
488,4636
488,3805
488,5953
488,23519
488,9091
489,10934
489,11202
490,21616
490,9336
490,749
490,8753
490,12997
490,15365
490,16987
490,12748
490,22761
490,14033
491,28074
491,24322
491,19846
492,8966
492,19467
492,20172
492,6998
492,26038
492,4717
492,6612
493,11688
493,22872
494,6477
494,6578
494,17583
494,21147
494,824
494,28193
494,10618
494,15437
495,6177
495,22269
495,5262
495,8846
495,7820
